DOCENTE RESPONSAVEL,CÓD.UC,NOME DA UC,APROVADOS,REPROVADOS,TOTAL
FABIO AUGUSTO MENOCCI CAPPABIANCO,8288,SEGURANÇA DA INFORMAÇÃO,87.21%,12.79%,86
FABIO DALL CORTIVO,5359,CÁLCULO EM VÁRIAS VARIÁVEIS,63.33%,36.67%,30
FABIO FAGUNDES SILVEIRA,2471,PROGRAMAÇÃO ORIENTADA A OBJETOS,84.76%,15.24%,210
FABIO FAGUNDES SILVEIRA,2614,ENGENHARIA DE SOFTWARE,96.47%,3.53%,170
FABIO FAGUNDES SILVEIRA,5168,PROJETO ORIENTADO A OBJETOS,82.5%,17.5%,200
FABIO GAVA AOKI,5776,BIOMECÂNICA,97.18%,2.82%,71
FABIO GAVA AOKI,6111,BIOENGENHARIA,89.91%,10.09%,109
FABIO GAVA AOKI,7753,ECOS - EB,97.2%,2.8%,143
FABIO GAVA AOKI,8521,ELETRÔNICA,90.15%,9.85%,132
FABIO ROBERTO PASSADOR,4373,INTRODUÇÃO À ENGENHARIA DE MATERIAIS,93.84%,6.16%,503
FABIO ROBERTO PASSADOR,4537,TECNOLOGIA E MEIO AMBIENTE,98.48%,1.52%,66
FABIO ROBERTO PASSADOR,5144,MATERIAIS POLIMÉRICOS,97.37%,2.63%,38
FABIO ROBERTO PASSADOR,5169,INTRODUÇÃO À NANOTECNOLOGIA,83.33%,16.67%,102
FABIO ROBERTO PASSADOR,5785,REOLOGIA DOS MATERIAIS,96.88%,3.12%,32
FABIO ROBERTO PASSADOR,5874,PROCESSAMENTO DE TERMOFIXOS E ELASTÔMEROS,96.73%,3.27%,397
FABIO ROBERTO PASSADOR,5879,PROCESSAMENTO DE TERMOPLÁSTICOS,98.79%,1.21%,331
FABIO ROBERTO PASSADOR,6666,BLENDAS POLIMÉRICAS,97.09%,2.91%,103
FELIPE MANCINI,2616,LINGUAGENS FORMAIS E AUTÔMATOS,98.0%,2.0%,50
FELIPE MANCINI,7548,SISTEMAS COMPUTACIONAIS COLABORATIVOS,57.69%,42.31%,26
FERNANDA QUELHO ROSSI,2834,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,80.46%,19.54%,87
FERNANDA QUELHO ROSSI,5928,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: CIRCUITOS DIGITAIS,66.67%,33.33%,30
FERNANDA QUELHO ROSSI,6033,SISTEMAS EMBARCADOS,95.24%,4.76%,21
FERNANDA QUELHO ROSSI,6089,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,86.36%,13.64%,198
FERNANDO HENRIQUE CRISTOVAN,4350,QUÍMICA ORGÂNICA,84.79%,15.21%,263
FERNANDO HENRIQUE CRISTOVAN,4370,QUÍMICA GERAL EXPERIMENTAL,69.51%,30.49%,82
FERNANDO HENRIQUE CRISTOVAN,4773,TERMODINÂMICA QUÍMICA,95.65%,4.35%,46
FERNANDO HENRIQUE CRISTOVAN,5786,SÍNTESE DE POLÍMEROS,87.5%,12.5%,32
FLAVIA CRISTINA MARTINS QUEIROZ MARIANO,2609,PROBABILIDADE E ESTATÍSTICA,79.17%,20.83%,504
FLAVIA CRISTINA MARTINS QUEIROZ MARIANO,5844,MATEMÁTICA GERAL,96.88%,3.12%,32
FLAVIO AIMBIRE SOARES DE CARVALHO,4368,BIOQUÍMICA E FISIOLOGIA HUMANA,54.05%,45.95%,74
FLAVIO AIMBIRE SOARES DE CARVALHO,4374,METODOLOGIA DA PESQUISA E COMUNICAÇÃO CIENTÍFICA,80.0%,20.0%,30
FLAVIO AIMBIRE SOARES DE CARVALHO,5118,FISIOLOGIA EXPERIMENTAL,99.45%,0.55%,183
FLAVIO AIMBIRE SOARES DE CARVALHO,5140,FARMACOLOGIA MOLECULAR,83.11%,16.89%,148
FLAVIO AIMBIRE SOARES DE CARVALHO,5356,FISIOLOGIA HUMANA,81.23%,18.77%,405
FLAVIO AIMBIRE SOARES DE CARVALHO,6111,BIOENGENHARIA,95.86%,4.14%,145
FLAVIO AIMBIRE SOARES DE CARVALHO,8272,FISIOLOGIA HUMANA II,82.95%,17.05%,129
FLAVIO VIEIRA LOURES,5855,IMUNOLOGIA GERAL,90.79%,9.21%,76
FLAVIO VIEIRA LOURES,5858,BIOTECNOLOGIA ANIMAL,84.27%,15.73%,89
FLAVIO VIEIRA LOURES,5864,IMUNOLOGIA APLICADA,94.87%,5.13%,39
FLAVIO VIEIRA LOURES,5866,MODELOS ANIMAIS,88.57%,11.43%,35
FRANCISCO DAS CHAGAS CARVALHO,4369,FENÔMENOS MECÂNICOS,26.72%,73.28%,116
FRANCISCO DAS CHAGAS CARVALHO,4770,MECÂNICA GERAL,92.31%,7.69%,26
FRANCISCO GORGONIO DA NÓBREGA,5115,"CIDADANIA, CIÊNCIA E POLÊMICA",66.67%,33.33%,24
FRANCISCO GORGONIO DA NÓBREGA,5384,BIOÉTICA E BIOSSEGURANÇA,98.21%,1.79%,56
GABRIEL HAESER,4187,INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,41.73%,58.27%,139
GABRIEL HAESER,5362,INTRODUÇÃO AO RACIOCÍNIO MATEMÁTICO,70.37%,29.63%,27
GABRIEL INACIO DE MORAIS HONORATO DE SOUZA,4714,INTRODUÇÃO À ECOLOGIA,91.23%,8.77%,57
GABRIEL INACIO DE MORAIS HONORATO DE SOUZA,4760,INTRODUÇÃO À BIOTECNOLOGIA,72.53%,27.47%,91
GABRIEL INACIO DE MORAIS HONORATO DE SOUZA,5703,FUNDAMENTOS DE BIOLOGIA MODERNA,58.06%,41.94%,62
GABRIEL INACIO DE MORAIS HONORATO DE SOUZA,5740,BIOLOGIA GERAL,85.0%,15.0%,80
GABRIEL INACIO DE MORAIS HONORATO DE SOUZA,5858,BIOTECNOLOGIA ANIMAL,93.1%,6.9%,29
GISELE FERREIRA DE LIMA ANDREANI,3491,TRABALHO DE CONCLUSÃO DE CURSO,94.44%,5.56%,72
GISELE FERREIRA DE LIMA ANDREANI,4188,QUÍMICA GERAL TEÓRICA,74.56%,25.44%,114
GISELE FERREIRA DE LIMA ANDREANI,4764,CIÊNCIA E TECNOLOGIA DOS MATERIAIS,85.0%,15.0%,80
GISELE FERREIRA DE LIMA ANDREANI,5143,MATERIAIS METÁLICOS,97.18%,2.82%,71
GISELE FERREIRA DE LIMA ANDREANI,5401,TERMODINÂMICA DOS SÓLIDOS,92.95%,7.05%,298
GISELE FERREIRA DE LIMA ANDREANI,5878,METALURGIA EXTRATIVA,97.7%,2.3%,304
GISELE FERREIRA DE LIMA ANDREANI,5888,METALURGIA DO PÓ,90.53%,9.47%,95
GISELE FERREIRA DE LIMA ANDREANI,6182,TRABALHO DE CONCLUSÃO DE CURSO II,90.91%,9.09%,22
GRASIELE CRISTIANE JORGE,2650,GEOMETRIA ANALÍTICA,59.01%,40.99%,322
GRASIELE CRISTIANE JORGE,4328,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS,63.64%,36.36%,66
GRASIELE CRISTIANE JORGE,4406,TEORIA DOS NÃMEROS E CRIPTOGRAFIA,78.72%,21.28%,47
GRASIELE CRISTIANE JORGE,5367,CÁLCULO EM UMA VARIÁVEL,45.43%,54.57%,634
GRASIELE CRISTIANE JORGE,5844,MATEMÁTICA GERAL,82.61%,17.39%,23
GRASIELE CRISTIANE JORGE,7684,LABORATÓRIO DE MATEMÁTICA,72.46%,27.54%,69
HENRIQUE ALVES DE AMORIM,4765,DESENHO TÉCNICO,81.82%,18.18%,44
HENRIQUE ALVES DE AMORIM,5135,CIRCUITOS ELÉTRICOS,61.83%,38.17%,723
HENRIQUE ALVES DE AMORIM,5363,EXPRESSÃO GRÁFICA,92.59%,7.41%,27
HENRIQUE ALVES DE AMORIM,5903,CIRCUITOS ELÉTRICOS II,81.99%,18.01%,211
HENRIQUE MOHALLEM PAIVA,3491,TRABALHO DE CONCLUSÃO DE CURSO,84.62%,15.38%,39
HENRIQUE MOHALLEM PAIVA,5132,ANÁLISE DE SINAIS,54.79%,45.21%,73
HENRIQUE MOHALLEM PAIVA,5386,CONTROLE DE SISTEMAS DINÂMICOS,91.74%,8.26%,230
HENRIQUE MOHALLEM PAIVA,5414,ALGORITMOS EM BIOINFORMÁTICA,87.23%,12.77%,47
HENRIQUE MOHALLEM PAIVA,5903,CIRCUITOS ELÉTRICOS II,88.13%,11.87%,278
HENRIQUE MOHALLEM PAIVA,6182,TRABALHO DE CONCLUSÃO DE CURSO II,71.88%,28.12%,32
HORACIO HIDEKI YANASSE,2650,GEOMETRIA ANALÍTICA,78.18%,21.82%,55
HORACIO HIDEKI YANASSE,4148,OTIMIZAÇÃO LINEAR,90.48%,9.52%,21
HUGO DE CAMPOS BRAGA,4370,QUÍMICA GERAL EXPERIMENTAL,78.95%,21.05%,95
HUGO DE CAMPOS BRAGA,5704,QUÍMICA GERAL,61.82%,38.18%,440
IRACI DE SOUZA JOAO ROLAND,4541,MICROECONOMIA,74.55%,25.45%,110
IRACI DE SOUZA JOAO ROLAND,5399,TEORIAS ADMINISTRATIVAS,83.3%,16.7%,533
IRACI DE SOUZA JOAO ROLAND,5849,EMPREENDEDORISMO EM BIOTECNOLOGIA,85.14%,14.86%,175
IRACI DE SOUZA JOAO ROLAND,5885,QUALIDADE,71.15%,28.85%,52
IRACI DE SOUZA JOAO ROLAND,5886,GESTÃO DE PROJETOS,78.21%,21.79%,234
IRACI DE SOUZA JOAO ROLAND,7671,EMPREENDEDORISMO,56.92%,43.08%,65
JAQUELINE APARECIDA BORIA FERNANDEZ,4537,TECNOLOGIA E MEIO AMBIENTE,90.32%,9.68%,217
JAQUELINE APARECIDA BORIA FERNANDEZ,5870,"CIÊNCIA, TECNOLOGIA, SOCIEDADE E AMBIENTE",78.57%,21.43%,56
JEAN FABER FERREIRA DE ABREU,2609,PROBABILIDADE E ESTATÍSTICA,57.14%,42.86%,98
JEAN FABER FERREIRA DE ABREU,4748,FENÔMENOS ELETROMAGNÉTICOS,56.86%,43.14%,51
JEAN FABER FERREIRA DE ABREU,5932,BIOESTATÍSTICA,84.48%,15.52%,58
JEAN FABER FERREIRA DE ABREU,6110,AVANÇOS EM ENGENHARIA BIOMÉDICA,86.36%,13.64%,22
JOAO ALBERTO ARANTES DO AMARAL,7296,PENSAMENTO SISTÊMICO,67.33%,32.67%,101
JOAO MARCOS BATISTA JUNIOR,4350,QUÍMICA ORGÂNICA,75.54%,24.46%,278
JOAO MARCOS BATISTA JUNIOR,4773,TERMODINÂMICA QUÍMICA,78.57%,21.43%,126
JULIANA GARCIA CESPEDES,2609,PROBABILIDADE E ESTATÍSTICA,86.09%,13.91%,302
JULIANA GARCIA CESPEDES,4401,INFERÊNCIA E ANÁLISE DE REGRESSÃO,71.43%,28.57%,35
JULIANA GARCIA CESPEDES,6517,UNIDADE DE APOIO AO CÁLCULO,58.62%,41.38%,116
JULIANA SOUZA SCRIPTORE MOREIRA,4541,MICROECONOMIA,84.56%,15.44%,518
JULIANA SOUZA SCRIPTORE MOREIRA,4775,MACROECONOMIA,53.41%,46.59%,176
JULIANA SOUZA SCRIPTORE MOREIRA,5399,TEORIAS ADMINISTRATIVAS,87.7%,12.3%,309
JURANDY GOMES DE ALMEIDA JUNIOR,2649,LÓGICA DE PROGRAMAÇÃO,48.15%,51.85%,162
JURANDY GOMES DE ALMEIDA JUNIOR,2651,ALGORITMOS E ESTRUTURAS DE DADOS,39.22%,60.78%,51
JURANDY GOMES DE ALMEIDA JUNIOR,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,51.56%,48.44%,128
JURANDY GOMES DE ALMEIDA JUNIOR,3579,PROJETO E ANÁLISE DE ALGORITMOS,40.0%,60.0%,75
KAREN DE LOLO GUILHERME PAULINO,2650,GEOMETRIA ANALÍTICA,69.52%,30.48%,210
KAREN DE LOLO GUILHERME PAULINO,5367,CÁLCULO EM UMA VARIÁVEL,44.44%,55.56%,279
KAREN DE LOLO GUILHERME PAULINO,7684,LABORATÓRIO DE MATEMÁTICA,78.07%,21.93%,187
KARINA RABELLO CASALI,3491,TRABALHO DE CONCLUSÃO DE CURSO,87.5%,12.5%,24
KARINA RABELLO CASALI,4380,INTRODUÇÃO À ENGENHARIA BIOMÉDICA,92.39%,7.61%,92
KARINA RABELLO CASALI,4748,FENÔMENOS ELETROMAGNÉTICOS,50.39%,49.61%,127
KARINA RABELLO CASALI,5124,ANATOMIA,95.0%,5.0%,80
KARINA RABELLO CASALI,5132,ANÁLISE DE SINAIS,87.93%,12.07%,58
KARINA RABELLO CASALI,5900,DESENHO TÉCNICO BÁSICO,85.96%,14.04%,114
KARINA RABELLO CASALI,5930,LABORATÓRIO DE ELETRÔNICA DIGITAL,95.9%,4.1%,439
KARINA RABELLO CASALI,5931,PROCESSAMENTO DE SINAIS BIOMÉDICOS,78.57%,21.43%,28
KARINA RABELLO CASALI,6108,INSTRUMENTOS BIOMÉDICOS II,87.18%,12.82%,78
KARINA RABELLO CASALI,8217,INSTRUMENTOS ELETROMÉDICOS,93.48%,6.52%,184
KATIA DA CONCEICAO,4760,INTRODUÇÃO À BIOTECNOLOGIA,78.2%,21.8%,367
KATIA DA CONCEICAO,5703,FUNDAMENTOS DE BIOLOGIA MODERNA,78.02%,21.98%,232
KATIA DA CONCEICAO,5760,BIOQUÍMICA ANALÍTICA,90.16%,9.84%,122
KATIA DA CONCEICAO,5847,BIOQUÍMICA II,86.62%,13.38%,142
KATIA DA CONCEICAO,5850,LABORATÓRIO DE BIOQUÍMICA ANALÍTICA,93.68%,6.32%,95
KATIA DA CONCEICAO,5854,QUÍMICA MEDICINAL,96.0%,4.0%,50
KATIA REGINA CARDOSO,4764,CIÊNCIA E TECNOLOGIA DOS MATERIAIS,84.49%,15.51%,316
KATIA REGINA CARDOSO,5145,RESISTÊNCIA DOS MATERIAIS,84.79%,15.21%,401
KATIA REGINA CARDOSO,5783,FUNDAMENTOS DE METALURGIA,96.15%,3.85%,26
KATIA REGINA CARDOSO,6671,METALURGIA FÍSICA,96.13%,3.87%,310
KELLY CRISTINA JORGE SAKAMOTO,4748,FENÔMENOS ELETROMAGNÉTICOS,51.67%,48.33%,120
KELLY CRISTINA JORGE SAKAMOTO,4770,MECÂNICA GERAL,51.33%,48.67%,339
KELLY CRISTINA JORGE SAKAMOTO,5137,FENÔMENOS ELETROMAGNÉTICOS EXPERIMENTAL,80.88%,19.12%,204
KELLY CRISTINA POLDI,4371,FUNÇÕES DE VÁRIAS VARIÁVEIS,76.92%,23.08%,52
KELLY CRISTINA POLDI,5367,CÁLCULO EM UMA VARIÁVEL,38.64%,61.36%,44
LARISSA STIEVEN MONTAGNA,4537,TECNOLOGIA E MEIO AMBIENTE,88.71%,11.29%,62
LARISSA STIEVEN MONTAGNA,5145,RESISTÊNCIA DOS MATERIAIS,87.5%,12.5%,40
LARISSA STIEVEN MONTAGNA,5387,ENSAIOS DE MATERIAIS,98.92%,1.08%,93
LARISSA STIEVEN MONTAGNA,5871,ESTRUTURA E PROPRIEDADES DE POLÍMEROS,94.55%,5.45%,55
LARISSA STIEVEN MONTAGNA,5881,CORROSÃO E DEGRADAÇÃO DE MATERIAIS,97.09%,2.91%,103
LAURO PAULO DA SILVA NETO,3518,CIRCUITOS DIGITAIS,85.19%,14.81%,108
LAURO PAULO DA SILVA NETO,5453,INTRODUÇÃO À ELETROTÉCNICA,93.53%,6.47%,201
LAURO PAULO DA SILVA NETO,5928,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: CIRCUITOS DIGITAIS,82.94%,17.06%,170
LAURO PAULO DA SILVA NETO,6099,MATERIAIS ELÉTRICOS,87.25%,12.75%,149
LAURO PAULO DA SILVA NETO,8271,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: COMUNICAÇÃO DIGITAL,97.67%,2.33%,43
LEANDRO CANDIDO BATISTA,2201,MATEMÁTICA DISCRETA,55.74%,44.26%,61
LEANDRO CANDIDO BATISTA,2475,ÁLGEBRA LINEAR,58.33%,41.67%,48
LEANDRO CANDIDO BATISTA,2650,GEOMETRIA ANALÍTICA,46.15%,53.85%,65
LEANDRO CANDIDO BATISTA,4149,ANÁLISE REAL,63.41%,36.59%,41
LEANDRO CANDIDO BATISTA,5359,CÁLCULO EM VÁRIAS VARIÁVEIS,61.11%,38.89%,90
LEANDRO KEY HIGUCHI YANAZE,7977,INTRODUÇÃO AO DESENVOLVIMENTO DE JOGOS DIGITAIS,55.17%,44.83%,29
LILIA MULLER GUERRINI,4370,QUÍMICA GERAL EXPERIMENTAL,45.45%,54.55%,33
LILIA MULLER GUERRINI,5393,MATERIAIS COMPÓSITOS,96.04%,3.96%,227
LILIA MULLER GUERRINI,5785,REOLOGIA DOS MATERIAIS,91.18%,8.82%,340
LILIA MULLER GUERRINI,5871,ESTRUTURA E PROPRIEDADES DE POLÍMEROS,91.71%,8.29%,362
LILIA MULLER GUERRINI,6674,RECICLAGEM DE MATERIAIS,96.31%,3.69%,217
LILIAN BERTON,2649,LÓGICA DE PROGRAMAÇÃO,56.55%,43.45%,145
LILIAN BERTON,2651,ALGORITMOS E ESTRUTURAS DE DADOS,37.04%,62.96%,27
LILIAN BERTON,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,60.95%,39.05%,105
LILIAN BERTON,3490,INTELIGÊNCIA ARTIFICIAL,66.67%,33.33%,114
LLOHANN DALLAGNOL SPERANCA,4328,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS,69.39%,30.61%,147
LLOHANN DALLAGNOL SPERANCA,5367,CÁLCULO EM UMA VARIÁVEL,79.35%,20.65%,92
LUCIANA FERREIRA DA SILVA,2672,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",84.63%,15.37%,1574
LUCIANA FERREIRA DA SILVA,4186,BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA,83.05%,16.95%,118
LUCIANA FERREIRA DA SILVA,4767,"ECONOMIA, SOCIEDADE E MEIO AMBIENTE",94.37%,5.63%,142
LUCIANA FERREIRA DA SILVA,4774,MUDANÇA DO CLIMA E SOCIEDADE,88.28%,11.72%,239
LUCIANA FERREIRA DA SILVA,5870,"CIÊNCIA, TECNOLOGIA, SOCIEDADE E AMBIENTE",88.74%,11.26%,1305
LUCIANA FERREIRA DA SILVA,6072,TECNOLOGIA SOCIAL: PRÁXIS E CONTRA-HEGEMONIA,90.88%,9.12%,351
LUCIANA FERREIRA DA SILVA,6091,TÓPICOS EM CIÊNCIA E TECNOLOGIA III,90.98%,9.02%,255
LUCIANE PORTAS CAPELO,3491,TRABALHO DE CONCLUSÃO DE CURSO,92.86%,7.14%,28
LUCIANE PORTAS CAPELO,5358,BIOQUÍMICA E BIOLOGIA MOLECULAR FUNDAMENTAL,62.3%,37.7%,61
LUCIANE PORTAS CAPELO,5384,BIOÉTICA E BIOSSEGURANÇA,86.08%,13.92%,309
LUCIANE PORTAS CAPELO,5703,FUNDAMENTOS DE BIOLOGIA MODERNA,59.89%,40.11%,374
LUCIANE PORTAS CAPELO,5739,BIOLOGIA DO DESENVOLVIMENTO,92.54%,7.46%,201
LUCIANE PORTAS CAPELO,5843,BIOLOGIA MOLECULAR DO GENE,85.05%,14.95%,321
LUCIANE PORTAS CAPELO,5868,ENGENHARIA TECIDUAL E MEDICINA REGENERATIVA,93.1%,6.9%,87
LUCIENE BIANCA ALVES,2650,GEOMETRIA ANALÍTICA,45.93%,54.07%,307
LUCIENE BIANCA ALVES,5367,CÁLCULO EM UMA VARIÁVEL,46.15%,53.85%,91
LUIS AUGUSTO MARTINS PEREIRA,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,54.12%,45.88%,85
LUIS AUGUSTO MARTINS PEREIRA,6101,SEMINÁRIOS INTERDISCIPLINARES,86.84%,13.16%,76
